function_name,param_names,param_types,is_optional,return_type,documentation_length
tf.TensorShape,['dims'],['None'],[False],none,3597
tf.guarantee_const,"['input', 'name']","['tensor', 'name']","[False, False]",tensor,148
tf.unique_with_counts,"['x', 'out_idx', 'name']","['tensor', 'defaults', 'name']","[False, True, True]",tensor,380
tf.shape,"['input', 'out_type', 'name']","['tensor', 'int32', 'name']","[False, True, True]",tensor,458
tf.get_static_value,"['tensor', 'partial']","['tensor', 'None']","[False, False]",tensor,458
tf.Module,['method'],['method'],[False],method,1148
tf.GradientTape,"['persistent', 'watch_accessed_variables']","['bool', 'watch']","[False, False]",tensor,2962
tf.foldr,"['fn', 'elems', 'initializer', 'parallel_iterations', 'back_prop', 'swap_memory', 'name']","['None', 'tensor', 'tensor', 'iterations', 'deprecated', 'gpucpu', 'tensor']","[False, False, True, True, True, True, True]",tensor,609
tf.concat,"['values', 'axis', 'name']","['tensor', 'int32', 'name']","[False, False, True]",tensor,564
tf.shape_n,"['input', 'out_type', 'name']","['tensor', 'int32', 'name']","[False, True, True]",tensor,224
tf.print,"['inputs', 'output_stream', 'summarize', 'sep', 'end', 'name']","['tensor', 'tmpfoo.out', 'tensor', 'defaults', 'character', 'name']","[False, False, False, False, False, True]",None,972
tf.nondifferentiable_batch_function,"['num_batch_threads', 'max_batch_size', 'batch_timeout_micros', 'allowed_batch_sizes', 'max_enqueued_batches', 'autograph', 'enable_large_batch_splitting']","['batches', 'batch', 'batch', 'batch', 'batch', 'autograph', 'max_batch_size']","[False, False, False, True, False, False, False]",computation,466
tf.constant_initializer,"['value', 'support_partition']","['value', 'arguments']","[False, False]",initializer,757
tf.type_spec_from_value,['value'],['tensor'],[False],typespec,367
tf.boolean_mask,"['tensor', 'mask', 'axis', 'name']","['tensor', 'bool', 'tensor', 'name']","[False, False, False, True]",tensor,536
tf.make_tensor_proto,"['values', 'dtype', 'shape', 'verify_shape', 'allow_broadcast']","['tensorproto', 'tensor', 'tensor', 'bool', 'bool']","[False, True, False, False, False]",tensor,482
tf.Operation,['type_proto'],['tft_product'],[False],object,1073
tf.broadcast_to,"['input', 'shape', 'name']","['tensor', 'tensor', 'name']","[False, False, True]",tensor,456
tf.unstack,"['value', 'num', 'axis', 'name']","['tensor', 'int', 'int', 'name']","[False, False, False, True]",tensor,1001
tf.control_dependencies,['control_inputs'],['operation'],[False],context,614
tf.stack,"['values', 'axis', 'name']","['tensor', 'int', 'name']","[False, False, True]",output,434
tf.tile,"['input', 'multiples', 'name']","['tensor', 'tensor', 'name']","[False, False, True]",tensor,362
tf.case,"['pred_fn_pairs', 'default', 'exclusive', 'strict', 'name']","['tensor', 'tensor', 'true', 'strict', 'name']","[False, True, False, False, True]",tensor,678
tf.no_gradient,['op_type'],['opdef.name'],[False],None,231
