filename,line_count,itid_min,itid_max,itid_macro_avg,itid_micro_avg
BERT,692,0.07462686567164169,0.980099502487562,0.6992831478519607,0.7294691140570441
DeepSpeech2,588,0.14704568576823385,0.9726140689744299,0.6947907095799594,0.688125386529438
GNMT,264,0.29593795257630684,0.9785662656113172,0.7275145088556255,0.7222088513018405
Inception,343,0.0909090909090909,0.9272727272727274,0.4585858585858586,0.471034965034965
ResNet,248,0.1069230769230769,0.976153846153846,0.6916665172434402,0.7379967446346756
VGG,99,0.08620689655172409,1.0,0.6812397372742199,0.6682235507633181
tacotron2,840,0.24893231145441214,0.9936489996986382,0.7529469534262808,0.7532488475741248
