filename,line_count,itid_min,itid_max,itid_macro_avg,itid_micro_avg
BERT,647,0.1890625,0.9125000000000004,0.7444146478521481,0.7757780934343438
DeepSpeech2,178,0.22459732307589297,0.9400571992364911,0.7141519790100863,0.7290554569272748
GNMT,1907,0.21304463169816537,0.9474371655355914,0.7353132107575193,0.753575480054602
Inception,382,0.021505376344085995,1.0,0.7793187625291663,0.7361143674598684
ResNet,339,0.2610169491525423,0.9417746759720834,0.6596328278456892,0.7256383392196291
VGG,148,0.3417874396135265,0.9830917874396136,0.7263263457556934,0.7127264492753622
tacotron2,1182,0.2495306149878361,0.9703360753018463,0.8073736201801466,0.7941780088784337
