filename,line_count,itid_min,itid_max,itid_macro_avg,itid_micro_avg
..\Data\Models\PyTorch\SR\DeepSpeech2\decoder.py,145,0.2238805970149254,1.0,0.7626865671641792,0.7829036635006784
..\Data\Models\PyTorch\SR\DeepSpeech2\model.py,265,0.07825295723384894,0.9745222929936306,0.6453279093031808,0.64326530146337
..\Data\Models\PyTorch\SR\DeepSpeech2\training.py,38,0.3333333333333333,1.0,0.7875000000000001,0.6666666666666666
..\Data\Models\PyTorch\SR\DeepSpeech2\utils.py,55,0.12244897959183675,0.8367346938775511,0.643233082706767,0.6390306122448981
..\Data\Models\PyTorch\SR\DeepSpeech2\validation.py,143,0.22268041237113403,1.0,0.7374624993181694,0.7435078323738118
