filename,line_count,tc_min,tc_max,tc_avg
..\Data\Models\PyTorch\NLP\BERT\bert_model.py,1526,0.0,1.0,0.06138854352283565
..\Data\Models\PyTorch\CV\Inception.py,343,0.0,1.0,0.12036163256160187
..\Data\Models\PyTorch\CV\ResNet.py,248,0.0,1.0,0.097865514413413
..\Data\Models\PyTorch\CV\VGG.py,99,0.0,0.9090909090909091,0.18408116081982967
..\Data\Models\PyTorch\SR\DeepSpeech2\,646,0.9412317886815674,0.8914202790339076,0.20948964138467752
..\Data\Models\PyTorch\NLP\GNMT\,459,0.4050349665594714,0.6226628634985487,0.3135785244475644
..\Data\Models\PyTorch\SR\tacotron2\,840,0.08984885046974735,0.20628872119517708,0.10006037554088935
