filename,line_count,itid_min,itid_max,itid_macro_avg,itid_micro_avg
..\Data\Models\TensorFlow\NLP\BERT\bert_model.py,722,0.18068823831535694,0.9500770416024654,0.7547892025952525,0.7928293479503735
..\Data\Models\TensorFlow\CV\Inception.py,382,0.02150537634408603,1.0,0.7793187625291663,0.7361143674598684
..\Data\Models\TensorFlow\CV\ResNet.py,339,0.26101694915254237,0.9417746759720834,0.6596328278456892,0.7256383392196291
..\Data\Models\TensorFlow\CV\VGG.py,261,0.3426724137931034,0.9813218390804597,0.7254682368637109,0.7120959051724138
..\Data\Models\TensorFlow\SR\DeepSpeech2,478,0.2634399949604022,0.9465521210501878,0.7199163331147882,0.7378552542271336
..\Data\Models\TensorFlow\NLP\GNMT,3134,0.24531750876899697,0.9233666532973351,0.7197247017371741,0.7326040455704991
..\Data\Models\TensorFlow\SR\tacotron2,1201,0.2526143900912022,0.9708201256930402,0.8088386800414811,0.7952849087393733
